model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
deepseek-v3,5,5.912,0.4176542026809359,0.4066666666666667,0.3374309682107906,0.4066666666666667,0.9883333333333332,449.8883333333333,497,76.09748534055029
deepseek-v3,10,5.953,0.4159482297251872,0.4033333333333333,0.3511681568870605,0.4033333333333333,0.9933333333333332,604.0116666666667,645,101.46340780558822
deepseek-v3,20,6.42,0.4090192330024038,0.3933333333333333,0.3376245890858998,0.3933333333333333,0.9766666666666668,920.65,967,143.40342679127727
deepseek-v3,30,6.669,0.4223701746770162,0.4116666666666667,0.351629548147148,0.4116666666666667,0.9916666666666668,1260.9583333333333,1316,189.07757284950267
deepseek-v3,40,6.321,0.4055059287230365,0.3983333333333333,0.3533761501662593,0.3983333333333333,0.9933333333333332,1602.19,1647,253.47096978326212
deepseek-v3,50,6.294,0.4200846997093052,0.4083333333333333,0.3504835821333895,0.4083333333333333,0.99,1936.3533333333328,1982,307.6506725982417
deepseek-r1,50,33.693,0.4456885048850711,0.4416666666666666,0.4008513603569094,0.4416666666666666,0.9966666666666668,2622.3216666666667,5074,77.8298657485729
deepseek-r1,40,31.899,0.4369473999855194,0.4316666666666666,0.3718166817423831,0.4316666666666666,0.9983333333333332,2273.39,4699,71.26837831906956
deepseek-r1,30,31.896,0.4331554732597092,0.4283333333333333,0.3740126975414625,0.4283333333333333,0.9983333333333332,1978.93,4586,62.04320290945573
deepseek-r1,20,27.07,0.4344281124506193,0.4266666666666667,0.3830577939321858,0.4266666666666667,0.9966666666666668,1587.9833333333331,4741,58.66211057751509
deepseek-r1,10,28.787,0.4601945273906429,0.4533333333333333,0.3993159800144086,0.4533333333333333,0.9983333333333332,1376.13,3829,47.80386980234134
deepseek-r1,5,33.745,0.438405283768941,0.4316666666666666,0.3830920317458214,0.4316666666666666,0.9983333333333332,1294.8116666666667,4561,38.37047463821801
deepseek-r1,0,31.217,0.4277381820173785,0.42,0.3879616985890409,0.42,0.9983333333333332,995.3166666666668,4333,31.883802628909464
